filename,view,psnr_unique3d,ssim_unique3d,lpips_unique3d,clip_sim_unique3d,psnr_zero123,ssim_zero123,lpips_zero123,clip_sim_zero123
Justified_The_Complete_Fourth_Season_3_Discs_DVD,right,12.407683761812912,0.8996078057245648,0.262400358915329,84.4375,16.444041861136117,0.903273229538784,0.12825241684913635,101.75
Justified_The_Complete_Fourth_Season_3_Discs_DVD,back,16.91385544939715,0.8821706135534583,0.10577502846717834,62.40625,17.72073109509549,0.8879933843134747,0.1566125750541687,72.1875
Kanex_MultiSync_Wireless_Keyboard,front,16.59322241932386,0.9233071637023614,0.10885373502969742,121.0625,18.093151039022153,0.9361260899534781,0.08102452754974365,118.25
Kanex_MultiSync_Wireless_Keyboard,left,18.920797379275655,0.9436333957018673,0.29322701692581177,105.5625,20.327735872639323,0.9744260481375063,0.0931745171546936,121.875
Kanex_MultiSync_Wireless_Keyboard,right,16.28109744183893,0.9397918500660316,0.2998206615447998,110.125,22.762247511864842,0.9787107012602799,0.07143425196409225,122.6875
Kanex_MultiSync_Wireless_Keyboard,back,19.131974112776952,0.7927074157400062,0.19357702136039734,73.1875,11.404931154392319,0.7517543986738696,0.27944105863571167,80.4375
Melissa_Doug_See_Spell,front,25.551524688747214,0.9554090817835911,0.025197159498929977,121.6875,2.704831771279202,0.2708774757403813,0.7557510137557983,96.9375
Melissa_Doug_See_Spell,left,13.73958862002651,0.9353901017497424,0.2737608253955841,101.1875,13.558334381370223,0.9244273940405743,0.25337570905685425,82.875
Melissa_Doug_See_Spell,right,13.916344888335786,0.9385041877348533,0.2694753408432007,108.9375,11.605248561345823,0.872627096151559,0.3317701518535614,90.375
Melissa_Doug_See_Spell,back,22.608187891522597,0.9484676272160326,0.03266783058643341,128.0,5.711251300138552,0.6318109964533303,0.5351832509040833,112.6875
Nikon_1_AW1_w11275mm_Lens_Silver,front,37.32668843222055,0.9904996787631104,0.004260634072124958,116.1875,7.718678698809835,0.7879949845551838,0.4640948474407196,101.125
Nikon_1_AW1_w11275mm_Lens_Silver,left,8.627993608958201,0.5061023512453996,0.6701297163963318,88.0,9.176158894073968,0.5361183182692502,0.5467821955680847,79.875
